goos: windows
goarch: amd64
pkg: github.com/maniartech/signals/tests
cpu: AMD Ryzen 7 5700G with Radeon Graphics         
BenchmarkSignalEmit_SingleListener-16             	 3922752	       257.0 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 4553419	       267.9 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 4704002	       247.6 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 4612602	       271.4 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 4430766	       285.8 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 4241419	       253.1 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	   47283	     34986 ns/op	   14475 B/op	     106 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	  226228	     31470 ns/op	   12920 B/op	      96 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	   89643	     26436 ns/op	   10572 B/op	      82 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	   61270	     21334 ns/op	    9376 B/op	      73 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	  272364	     33403 ns/op	   12010 B/op	      94 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	   81784	     26822 ns/op	   10481 B/op	      82 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2109954	       475.0 ns/op	     206 B/op	       1 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2656042	       467.5 ns/op	     207 B/op	       1 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2432554	       468.4 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2464980	       464.2 ns/op	     207 B/op	       1 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2796106	       501.1 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2791848	       473.7 ns/op	     208 B/op	       2 allocs/op
BenchmarkSyncEmit_SingleListener-16               	125366034	         9.147 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	132541210	         8.974 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	126535174	         8.803 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	133188386	         9.005 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	127769265	         8.722 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	139277204	         8.620 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	29340498	        37.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	28257567	        41.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	28429483	        37.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	32347366	        42.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	30107936	        38.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	31666851	        38.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	1000000000	         1.226 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	936561974	         1.235 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	879544219	         1.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	991244829	         1.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	851738575	         1.197 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	945411170	         1.263 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncTryEmit_SingleListener-16            	100000000	        10.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncTryEmit_SingleListener-16            	100000000	        10.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncTryEmit_SingleListener-16            	100000000	        10.28 ns/op	       0 B/op	       0 allocs/op
