goos: windows
goarch: amd64
pkg: github.com/maniartech/signals/tests
cpu: AMD Ryzen 7 5700G with Radeon Graphics         
BenchmarkSignalEmit_SingleListener-16             	 5347618	       229.8 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 5207130	       246.4 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 5070022	       229.5 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 5235841	       226.2 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 5416741	       226.9 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_SingleListener-16             	 5238938	       222.8 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	   45074	     27458 ns/op	   12991 B/op	      89 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	  236882	     24896 ns/op	   13107 B/op	     100 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	  134178	     21452 ns/op	   12439 B/op	      97 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	  166032	     21666 ns/op	   11707 B/op	      91 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	  102622	     22289 ns/op	   12222 B/op	      95 allocs/op
BenchmarkSignalEmit_ManyListeners-16              	  189670	     24150 ns/op	   11990 B/op	      93 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 3005059	       399.7 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2961235	       426.5 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2964786	       404.7 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 3039541	       449.4 ns/op	     208 B/op	       2 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2753917	       442.9 ns/op	     207 B/op	       1 allocs/op
BenchmarkSignalEmit_Concurrent-16                 	 2956196	       404.1 ns/op	     207 B/op	       1 allocs/op
BenchmarkSyncEmit_SingleListener-16               	155145697	         7.757 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	153469189	         8.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	150097825	         7.917 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	148179886	         8.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	149708031	         7.860 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_SingleListener-16               	155222359	         7.663 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	35915748	        33.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	36873156	        33.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	31252196	        33.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	35240530	        33.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	35984598	        32.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_TenListeners-16                 	36298298	        33.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	1000000000	         1.145 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	1000000000	         1.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	1000000000	         1.037 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	1000000000	         1.051 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	1000000000	         1.133 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncEmit_Concurrent-16                   	983364745	         1.061 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncTryEmit_SingleListener-16            	133704109	         8.858 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncTryEmit_SingleListener-16            	130270570	         8.791 ns/op	       0 B/op	       0 allocs/op
